year,importer1,importer2,flow1,flow2
1885,All Other Trade,All Other Trade,6.72,
1885,All Other Trade,All Other Trade,3.39,
1885,All Other Trade,All Other Trade,9.24,
1885,All Other Trade,All Other Trade,3.95,
1885,All Other Trade,All Other Trade,6.83,
1885,All Other Trade,All Other Trade,7.66,
1885,All Other Trade,All Other Trade,6.73,
1885,All Other Trade,All Other Trade,0.57,
1885,All Other Trade,All Other Trade,5.68,
1885,All Other Trade,All Other Trade,1.93,
1885,All Other Trade,All Other Trade,2.74,
1885,All Other Trade,All Other Trade,4.31,
1885,All Other Trade,All Other Trade,3.86,
1885,All Other Trade,All Other Trade,5.39,
1885,All Other Trade,All Other Trade,1.21,
1885,All Other Trade,All Other Trade,1.62,
1885,All Other Trade,All Other Trade,0.76,
1885,All Other Trade,All Other Trade,4.48,
1885,All Other Trade,All Other Trade,4.2,
1885,All Other Trade,All Other Trade,1.4,
1885,All Other Trade,All Other Trade,5.65,
1885,All Other Trade,All Other Trade,5.71,
1885,All Other Trade,All Other Trade,3.36,
1885,All Other Trade,All Other Trade,3.46,
1885,All Other Trade,All Other Trade,0.62,
1885,All Other Trade,All Other Trade,1.4,
1885,All Other Trade,All Other Trade,4.99,
1885,All Other Trade,All Other Trade,3.82,
1885,All Other Trade,All Other Trade,2.28,
1885,All Other Trade,All Other Trade,0,
1885,All Other Trade,All Other Trade,0.51,
1885,All Other Trade,All Other Trade,2.31,
1885,All Other Trade,All Other Trade,3.53,
1885,All Other Trade,All Other Trade,4.4,
1885,All Other Trade,All Other Trade,2.33,
1885,All Other Trade,All Other Trade,2.43,
1885,All Other Trade,All Other Trade,1.96,
1885,All Other Trade,All Other Trade,3.2,
1885,All Other Trade,All Other Trade,0.67,
1885,All Other Trade,All Other Trade,1.28,
1885,All Other Trade,All Other Trade,0.2,
1885,All Other Trade,All Other Trade,1.62,
1885,All Other Trade,All Other Trade,1.24,
1885,All Other Trade,All Other Trade,1.64,
1885,All Other Trade,All Other Trade,2.34,
1885,All Other Trade,All Other Trade,2.56,
1885,All Other Trade,All Other Trade,0.21,
1885,All Other Trade,All Other Trade,1.79,
1885,All Other Trade,All Other Trade,0.48,
1885,All Other Trade,All Other Trade,1.42,
1885,All Other Trade,All Other Trade,0.51,
1885,All Other Trade,All Other Trade,0.38,
1885,All Other Trade,All Other Trade,0.41,
1885,All Other Trade,All Other Trade,0.62,
1885,All Other Trade,All Other Trade,1.39,
1885,All Other Trade,All Other Trade,1.39,
1885,All Other Trade,All Other Trade,0.27,
1885,All Other Trade,All Other Trade,0.27,
1885,All Other Trade,All Other Trade,0.52,
1885,All Other Trade,All Other Trade,0,
1885,All Other Trade,All Other Trade,0,
1885,All Other Trade,All Other Trade,0.31,
1885,All Other Trade,All Other Trade,0,
1885,All Other Trade,All Other Trade,0.51,
1885,All Other Trade,All Other Trade,0.11,
1885,All Other Trade,All Other Trade,0.28,
1885,All Other Trade,All Other Trade,0.15,
1885,All Other Trade,All Other Trade,0.0043208,
1885,All Other Trade,All Other Trade,0,
1885,All Other Trade,All Other Trade,0.000804,
1890,United States of America,United Kingdom,153.95,
1890,United Kingdom,France,215.2,
1890,Germany,Austria-Hungary,138.94,
1890,United Kingdom,Germany,125.17,
1890,United States of America,Germany,97.31,
1890,Germany,Russia,125.79,
1890,United Kingdom,Netherlands,124.34,
1890,United States of America,Brazil,83.23,
1890,United States of America,France,76.68,
1890,United Kingdom,Russia,114.02,
1890,France,Germany,66.76,
1890,Netherlands,Germany,59.89,
1890,Belgium,France,59.59,
1890,United Kingdom,Belgium,83.45,
1890,France,Spain,67.34,
1890,Belgium,Germany,34.31,
1890,United Kingdom,Spain,60.05,
1890,Switzerland,Germany,41.7,
1890,Netherlands,Belgium,39.24,
1890,France,Switzerland,23.58,
1890,Argentina,United Kingdom,40.4,
1890,Brazil,United Kingdom,35.8,
1890,United Kingdom,Turkey,23.12,
1890,United Kingdom,Sweden,40.68,
1890,United Kingdom,China,23.19,
1890,United States of America,Mexico,27.29,
1890,Germany,Italy,32.59,
